,id,host_is_superhost,host_listings_count,host_identity_verified,accommodates,price,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month
0,44077,1,2,1,2,70.0,258,4.78,4.66,1.85
1,85156,1,2,1,2,67.0,210,4.79,4.64,1.53
2,159889,0,3,1,1,45.0,355,4.74,4.63,2.78
3,162809,1,2,1,6,80.0,326,4.84,4.77,3.68
4,165828,0,5,1,5,251.0,64,4.63,4.34,0.48
5,165829,0,5,1,5,244.0,76,4.69,4.39,0.59
6,178860,0,2,1,2,80.0,313,4.88,4.94,2.57
7,181823,0,2,1,1,139.0,50,4.6,4.47,0.37
8,237465,0,3,1,2,68.0,392,4.56,4.39,3.0
9,245903,1,1,0,1,30.0,43,4.93,4.66,0.35
10,292757,1,1,1,9,121.0,362,4.92,4.94,2.97
11,302554,0,8,1,5,200.0,59,4.67,4.44,0.46
12,302634,0,8,1,2,101.0,105,4.61,4.47,0.82
13,374792,0,5,1,4,212.0,35,4.48,4.41,0.28
14,386860,0,2,1,4,164.0,92,4.67,4.77,0.75
15,393631,0,1,1,6,180.0,72,4.87,4.24,0.59
16,419987,0,8,1,6,240.0,145,4.8,4.5,1.2
17,424596,1,4,1,3,155.0,519,4.84,4.62,4.16
18,426326,0,3,1,3,60.0,254,4.61,4.56,2.04
19,427077,1,4,1,3,154.0,498,4.84,4.6,3.95
20,427495,0,3,1,2,60.0,176,4.59,4.52,1.44
21,449556,0,1,1,4,155.0,271,4.19,4.67,2.44
22,454183,1,4,0,3,132.0,93,4.67,4.76,1.46
23,468082,1,2,1,5,70.0,296,4.7,4.75,2.42
24,497136,0,2,1,2,139.0,113,4.62,4.55,0.93
25,522667,1,4,1,3,153.0,430,4.81,4.65,3.46
26,526767,1,3,1,3,194.0,568,4.9,4.93,4.65
27,587218,1,2,1,2,80.0,220,4.98,4.76,1.81
28,592840,1,2,1,1,55.0,42,4.9,4.9,0.34
29,610233,0,1,1,4,150.0,61,4.82,4.97,0.5
30,637185,0,1,1,2,119.0,158,4.5,4.72,1.31
31,641880,0,2,1,2,85.0,46,4.53,4.53,0.47
32,654589,1,2,1,4,356.0,538,4.78,4.94,4.41
33,690119,0,1,1,4,341.0,216,4.9,4.72,1.92
34,726011,1,1,1,3,113.0,164,4.9,4.96,1.5
35,726075,1,9,1,5,125.0,3,4.33,5.0,0.04
36,736751,0,1,1,2,80.0,74,4.52,4.65,0.61
37,736827,0,16,1,4,116.0,7,4.67,4.67,0.07
38,742656,0,2,1,2,65.0,368,4.58,4.77,3.52
39,743772,0,2,0,2,140.0,5,4.75,5.0,0.05
40,747284,0,1,1,4,229.0,38,4.97,4.87,0.33
41,871174,1,2,1,3,42.0,244,4.45,4.62,2.11
42,872539,1,1,1,4,280.0,120,4.79,4.51,1.04
43,922425,0,2,1,4,204.0,131,4.78,4.86,1.14
44,928970,0,2,1,4,165.0,37,4.81,4.97,0.34
45,929816,0,2,1,2,79.0,161,4.96,4.81,1.39
46,939866,0,2,1,4,334.0,156,4.93,4.85,1.35
47,946923,0,16,1,2,60.0,11,4.55,5.0,0.12
48,990212,0,1,1,6,205.0,38,4.79,4.58,0.44
49,990300,0,1,1,3,65.0,204,4.9,4.92,1.77
50,998407,0,3,1,2,53.0,254,4.31,4.27,2.66
51,999963,1,2,1,2,200.0,10,4.9,4.7,0.1
52,1073487,0,1,1,1,85.0,72,4.9,4.86,0.64
53,1076634,0,1,1,2,75.0,50,4.64,4.49,0.45
54,1086416,0,1,1,2,106.0,240,4.86,4.57,2.12
55,1173029,1,1,1,4,271.0,329,4.83,4.74,3.73
56,1184087,0,8,1,9,336.0,18,4.89,4.67,0.16
57,1207950,0,1,1,8,270.0,72,4.93,4.84,0.65
58,1255270,1,3,1,1,40.0,10,4.9,4.4,0.09
59,1270261,0,1,1,6,50.0,9,4.89,4.75,0.09
60,1276002,0,1,1,5,593.0,70,4.87,4.4,0.66
61,1296492,0,1,1,2,48.0,54,4.54,4.58,0.5
62,1341478,1,4,0,3,141.0,138,4.59,4.63,1.56
63,1364560,0,1,1,2,90.0,140,4.72,4.4,1.27
64,1407832,0,1,1,8,160.0,63,4.94,4.8,0.57
65,1411019,0,5,1,2,95.0,237,4.78,4.94,3.0
66,1421993,0,1,1,2,300.0,56,4.76,4.69,0.51
67,1447994,0,1,0,2,75.0,3,5.0,4.67,0.03
68,1466234,0,1,1,1,40.0,141,4.73,4.51,1.28
69,1488124,0,1,1,2,68.0,119,4.79,4.76,1.08
70,1501767,1,2,1,2,59.0,61,4.64,4.82,0.56
71,1518845,0,2,1,1,800.0,58,4.84,4.64,0.53
72,1520036,0,1,1,4,350.0,51,4.56,4.7,0.47
73,1556554,1,2,1,5,294.0,19,4.89,4.56,0.26
74,1559929,1,2,1,1,85.0,60,4.92,4.92,0.56
75,1582908,0,1,0,1,85.0,64,4.83,4.61,0.63
76,1600779,1,2,1,2,110.0,73,4.9,4.88,0.7
77,1717912,0,4,1,2,55.0,309,4.83,4.87,3.46
78,1729959,0,1,0,6,190.0,4,4.75,5.0,0.04
79,1797712,0,1,1,2,86.0,67,4.88,4.79,0.66
80,1804494,0,2,1,3,150.0,107,4.88,4.9,1.02
81,1896821,0,1,0,4,150.0,18,4.53,4.59,0.17
82,1906221,1,3,1,2,75.0,512,4.89,4.61,4.79
83,1929739,1,3,1,4,100.0,82,4.88,4.63,0.77
84,1943366,0,8,1,6,240.0,133,4.83,4.66,1.31
85,1963074,0,1,1,2,105.0,616,4.97,4.81,6.24
86,2026810,0,2,1,1,53.0,292,4.73,4.86,2.8
87,2069629,0,1,1,2,95.0,64,4.68,4.75,0.81
88,2084913,0,1,1,2,80.0,48,4.79,4.8,0.53
89,2121887,0,2,0,4,70.0,7,4.71,5.0,0.11
90,2162973,0,2,1,2,125.0,58,4.82,4.95,0.55
91,2164444,0,2,1,2,80.0,477,4.51,4.8,4.57
92,2165074,0,3,1,4,120.0,121,4.83,4.32,1.17
93,2283713,0,2,1,2,65.0,321,4.59,4.86,3.12
94,2355991,1,1,1,5,120.0,56,4.94,4.94,0.54
95,2372993,0,1,1,4,400.0,171,4.85,4.93,1.65
96,2385640,0,1,1,10,179.0,1,0.0,,0.02
97,2394893,0,3,1,2,58.0,243,4.92,4.78,2.4
98,2415104,1,6,1,6,450.0,253,4.9,4.93,2.45
99,2427857,0,3,1,2,58.0,249,4.96,4.79,2.41
100,2466169,1,1,1,2,128.0,213,4.65,4.66,2.1
101,2471794,0,1,1,2,95.0,114,4.92,4.88,1.13
102,2481147,0,32,1,7,753.0,27,4.56,4.85,0.36
103,2489550,1,23,0,2,146.0,451,4.89,4.98,4.47
104,2514537,0,1,0,5,110.0,2,5.0,5.0,0.03
105,2574203,1,1,1,1,51.0,371,4.91,4.7,3.59
106,2607040,0,1,1,2,120.0,56,4.73,4.74,0.55
107,2610590,0,1,1,6,160.0,2,4.0,5.0,0.03
108,2614726,0,3,1,2,110.0,6,4.5,4.6,0.06
109,2620389,0,1,1,1,38.0,6,4.17,4.17,0.08
110,2635493,0,1,1,4,200.0,1,0.0,,0.01
111,2642164,0,1,1,2,66.0,39,4.92,4.92,0.39
112,2647405,0,1,1,2,65.0,70,4.61,4.49,0.68
113,2671586,0,2,0,5,97.0,1,5.0,5.0,0.01
114,2685349,0,2,1,8,290.0,106,4.87,4.83,1.06
115,2686112,0,1,1,2,157.0,72,4.61,4.9,0.7
116,2691951,1,1,1,4,243.0,69,4.94,4.91,2.05
117,2703497,0,1,1,5,350.0,2,5.0,5.0,0.85
118,2719863,0,1,0,2,73.0,3,4.33,4.33,0.03
119,2734096,0,5,1,1,210.0,23,4.91,5.0,0.23
120,2754860,0,1,1,15,300.0,7,5.0,5.0,0.11
121,2760521,0,16,1,2,77.0,6,4.67,5.0,0.06
122,2770813,1,4,1,3,138.0,102,4.62,4.68,1.01
123,2778697,1,1,1,2,85.0,115,4.89,4.7,1.14
124,2791857,0,3,1,2,71.0,249,4.94,4.86,2.5
